model,split,MAE,RMSE,R2,within_1,within_2,CV_MAE
XGBoost,train,0.9281242420382041,1.4534441892037537,0.8543104814324088,0.7931300656117329,0.9531069085295253,1.3319921924004283
XGBoost,test,1.276449552977085,2.7036085890636827,0.7418306323311031,0.6536458333333334,0.8654513888888888,1.3319921924004283
Linear Regression (Ridge),train,1.347062133586048,2.9276617283607504,0.7065386955330517,0.6259166345040524,0.8563296024700888,1.3663679971370548
Linear Regression (Ridge),test,1.3822967422188972,3.171673408907007,0.6971348139142602,0.6241319444444444,0.8376736111111112,1.3663679971370548
Decision Tree,train,1.656797648339775,4.401064235750356,0.5588486063281329,0.5375337707448862,0.7713238131995369,1.9741690194104073
Decision Tree,test,1.9403456014301455,6.013827824888671,0.4257356138379411,0.4722222222222222,0.7109375,1.9741690194104073
