feature,importance_mean,importance_std
avg_move_dist,0.5636664342077575,0.018986262510230986
avg_consecutive_move_x_angle,0.186792275436322,0.012504595935667138
hold_density,0.17576091479460415,0.01973426720278199
std_consecutive_move,0.11711976780878179,0.008388587394735528
move_dist_x_angle,0.08700002220935302,0.006268073803452187
angle,0.0638347586547005,0.009504543031038044
hold_1302_hand,0.055802255930105994,0.014222659839489022
max_move_dist,0.05208904366201843,0.004667503571632952
hold_1234_hand,0.04492878774642957,0.010117310603858645
hold_1300_hand,0.032108834490113945,0.007257258469700652
hold_1353_hand,0.0315602346367307,0.004940093485791309
avg_consecutive_move,0.029735133997202023,0.006646731871332934
hold_1257_hand,0.024594661669996177,0.004120381906658714
hold_1163_start,0.0223974904696147,0.004687568359826206
n_holds,0.02215836895598313,0.007817624894569924
is_nomatch,0.020436404725843092,0.004828825307162866
hand_foot_dist,0.016058785414695874,0.005437801785999818
hold_1352_hand,0.015755957863860838,0.005213993521138359
hold_1320_hand,0.015348117940028615,0.004942260899490488
board_height,0.014711066816250673,0.002716077209805553
std_foot_dist,0.01339954993062562,0.003217169359411286
foot_to_hand_ratio,0.012809685725901021,0.003946522129316872
hold_1347_hand,0.011780431411398885,0.0026371889000319157
std_move_dist,0.011514823522567896,0.00510018664789137
hold_1169_start,0.011406872664027845,0.004074790527246912
avg_foot_dist,0.010972682681746093,0.00951769347834629
hold_1339_hand,0.010861106913089835,0.0038256649623818312
hold_1236_hand,0.010227563960552244,0.0070003568410205086
hold_1308_hand,0.009599040285084048,0.002805060231175625
hold_1230_hand,0.00930693609105231,0.0028313168298491776
hold_1543_hand,0.009031465168926677,0.002203019086325396
hold_1541_hand,0.00881842269208708,0.0018857942918047478
board_width,0.008477351792123767,0.003543654335900273
hold_1331_hand,0.0083894243939719,0.0033674271336294925
hold_1306_hand,0.008345140865511459,0.0021850203073886776
max_foot_dist_x_angle,0.007705538329548389,0.002884628234340693
hold_1234_start,0.007600474049780259,0.0028901501523425663
hold_1237_hand,0.007585501053068544,0.0018720825760200966
hold_1559_hand,0.007573680896096957,0.0025065860247101813
start_finish_dist,0.0070063448316522335,0.0035890340952788877
hold_1231_hand,0.006502780114809803,0.0029950561388782776
hold_1287_hand,0.006482147877216393,0.0021647836643401315
hold_1264_hand,0.006283300746811849,0.00277726231330237
hold_1289_hand,0.006212736396259877,0.0029717506069816533
hold_1154_start,0.00591764467716227,0.0014216658804689787
hold_1317_hand,0.005826247389449124,0.0017389658862624966
hold_1578_hand,0.005426310635937725,0.0011566385104932614
hold_1144_start,0.005398014280531327,0.0013979443847991627
hold_1218_hand,0.005356329048872177,0.0013208326960404385
hold_1318_hand,0.005258662898540623,0.003894325891578827
hold_1283_hand,0.004891252419418834,0.0023265679520376482
hold_1540_hand,0.004862670987049867,0.0020519777382808284
hold_1340_hand,0.004829178709983983,0.0022718584345877467
hold_1186_hand,0.004788852087921636,0.0015299927121887231
hold_1257_start,0.004771069412231576,0.002828810965858243
max_foot_dist,0.004720852595037938,0.0067307272759339525
max_consecutive_move,0.0045791189405653965,0.0026268409855679004
hold_1232_hand,0.004523388022449426,0.0014583622956564819
hold_1315_hand,0.004398040715323725,0.004122167460423865
hold_1254_hand,0.00436351442469507,0.0014419083641791072
hold_1267_hand,0.003745463971959384,0.002278957513107465
hold_1550_hand,0.003600085203382819,0.0009792857263703227
hold_1332_hand,0.003581260149876342,0.0022155915726642917
