feature,importance_mean,importance_std
avg_move_dist,1.5452287758011678,0.04894625784512017
max_foot_dist,0.7532555111228201,0.027563885818171596
n_foot,0.6411373794879788,0.020994575393137444
n_holds,0.563117470922386,0.02058785255482143
n_holds_total,0.563117470922386,0.02058785255482142
std_move_dist,0.3859076099446468,0.01921298042448498
avg_consecutive_move_x_angle,0.3632172317306945,0.019680087192181447
std_consecutive_move,0.32682595895979105,0.01138149446257613
avg_consecutive_move,0.31042882836615754,0.02009710313928544
n_hand,0.24997238796207127,0.010948471826287847
board_width,0.2362407863536197,0.011680669581092545
max_foot_dist_x_angle,0.1483922166108999,0.015239371424390023
move_dist_x_angle,0.13587654909117017,0.015483321231466642
angle,0.12402605425373225,0.014382858751795641
max_move_dist,0.05876287495326367,0.006989921491152489
max_consecutive_move,0.047491498623810656,0.0049784888513483986
hold_1302_hand,0.03874264333341089,0.010901525941823321
hold_1234_hand,0.03840039186556785,0.010411097762318687
std_foot_dist,0.0370590418925643,0.008205932637893114
avg_foot_dist,0.03505359592334658,0.008145541447980536
hold_1353_hand,0.033687105352371405,0.007199251013281629
hold_1300_hand,0.02382190888498419,0.006583963564878264
hold_1163_start,0.020441355310725773,0.004624610266297347
hold_1347_hand,0.019579028061244074,0.0049148251282880575
hold_1352_hand,0.016691505308430377,0.00611568071928832
hold_1331_hand,0.014782027420856969,0.003871924523787876
hold_1257_hand,0.014412411473473542,0.004521617985433166
hold_1340_hand,0.012616843745696094,0.004632677305209622
hold_1320_hand,0.012429539019894409,0.004690152274945142
hold_1283_hand,0.011627455485794847,0.0025374675742991927
hold_1230_hand,0.010436804299608426,0.003404919831649744
hand_foot_dist,0.009573676341130688,0.0064053640621122565
hold_1339_hand,0.009203609280864233,0.0053198633259039785
hold_1318_hand,0.009145526577211216,0.003223981119966409
hold_1254_hand,0.009103659831066868,0.0023932138882608684
hold_1285_hand,0.009071702224899036,0.001450906150332923
hold_1306_hand,0.009068291264967842,0.0018240573899624924
hold_1169_start,0.008808127183075554,0.004308644723185509
hold_1236_hand,0.008168540163081706,0.006755600762384828
hold_1287_hand,0.008047475587181574,0.002829231190575259
hold_1315_hand,0.006559290279559926,0.003579304111915348
hold_1271_hand,0.005976954132240553,0.0030863433099806432
hold_1247_hand,0.00592366165840561,0.003439443337851913
hold_1231_hand,0.005842140130819229,0.002619459044573313
hold_1289_hand,0.005841533346601047,0.003884042179636125
hold_1144_start,0.00496457156443939,0.002086105148167288
hold_1336_hand,0.0047071805224564445,0.0018269095165557526
hold_1543_hand,0.004363663215523528,0.0010148723956245774
hold_1294_hand,0.004084010804501048,0.0014594575703324839
hold_1308_hand,0.004038202837965343,0.002202580078694685
hold_1157_start,0.003940063943986316,0.0022902777849774995
hold_1133_foot,0.003664320515457331,0.0014677849134104202
hold_1322_hand,0.003540691347273839,0.003100761588085942
hold_1216_hand,0.0035050555740206322,0.002011485257918786
hold_1215_hand,0.0034973664747962375,0.0035706697803304746
hold_1142_start,0.003139249713520376,0.0014984838000973255
hold_1390_finish,0.002938774471183914,0.0013601392234116126
hold_1237_hand,0.0028325511610656218,0.0013136419757424017
hold_1198_hand,0.002683355213789862,0.0013613027461980584
hold_1392_finish,0.0026747195235420572,0.0014085415463571554
